Employee Name,Employee Username,Employee Password,Employee Address,Employee City,Employee Country,Employee Reporting To (username),Employee Cnic (numeric/dash),Employee Hiring From (date),Employee Phone (numeric),Employee Salary (numeric)
zara1,zara1,zara1,zara1@zara.com,Islamabad,Pakistan,mrzara,123456789,10/14/2017,92312564897,5000
zara2,zara2,zara2,zara1@zara.com,Islamabad,Pakistan,mrzara,123456790,10/15/2017,92312564898,5001
zara3,zara3,zara3,zara1@zara.com,Islamabad,Pakistan,mrzara,123456791,10/16/2017,92312564899,5002
zara4,zara4,zara4,zara1@zara.com,Islamabad,Pakistan,mrzara,123456792,10/17/2017,92312564900,5003
zara5,zara5,zara5,zara1@zara.com,Islamabad,Pakistan,mrzara,123456793,10/18/2017,92312564901,5004
zara6,zara6,zara6,zara1@zara.com,Lahore,Pakistan,mrzara,123456794,10/19/2017,92312564902,5005
zara7,zara7,zara7,zara1@zara.com,Lahore,Pakistan,mrzara,123456795,10/20/2017,92312564903,5006
zara8,zara8,zara8,zara1@zara.com,Lahore,Pakistan,mrzara,123456796,10/21/2017,92312564904,5007
zara9,zara9,zara9,zara1@zara.com,Lahore,Pakistan,mrzara,123456797,10/22/2017,92312564905,5008
zara10,zara10,zara10,zara1@zara.com,Lahore,Pakistan,mrzara,123456798,10/23/2017,92312564906,5009
zara11,zara11,zara11,zara1@zara.com,Lahore,Pakistan,mrzara,123456799,10/24/2017,92312564907,5010
zara12,zara12,zara12,zara1@zara.com,Lahore,Pakistan,mrzara,123456800,10/25/2017,92312564908,5011
zara13,zara13,zara13,zara1@zara.com,Lahore,Pakistan,mrzara,123456801,10/26/2017,92312564909,5012
zara14,zara14,zara14,zara1@zara.com,Karachi,Pakistan,mrzara,123456802,10/27/2017,92312564910,5013
zara15,zara15,zara15,zara1@zara.com,Karachi,Pakistan,mrzara,123456803,10/28/2017,92312564911,5014
zara16,zara16,zara16,zara1@zara.com,Karachi,Pakistan,mrzara,123456804,10/29/2017,92312564912,5015
zara17,zara17,zara17,zara1@zara.com,Karachi,Pakistan,mrzara,123456805,10/30/2017,92312564913,5016
zara18,zara18,zara18,zara1@zara.com,Karachi,Pakistan,mrzara,123456806,10/31/2017,92312564914,5017
zara19,zara19,zara19,zara1@zara.com,Karachi,Pakistan,mrzara,123456807,11/1/2017,92312564915,5018
